# Agent Kernel V2 CGP-00 gateway route census (evidence-only, no behavior change)
# Baseline: 0bf690b2
# Plan: docs/plans/2026-08-09-agent-kernel-v2-deepseek-implementation-plan.md §8
# Records each daemon RPC route's auth source, request DTO, command owner,
# response/error mapping, wire schema, socket/framing owner, retry/reconnect,
# Session/Turn ID mint, effective policy/TaskKind derivation, deletion slice.
fact_id	route_family	methods	auth_source	request_dto	command_owner	response_error_mapping	wire_schema	socket_framing_owner	retry_reconnect	session_turn_id_mint	effective_policy_taskkind	presence_classification	target_owner	cutover_slice	deletion_slice	status	evidence_command
CGP-R-01	session-lifecycle	clear,sessions,resume,compact,new_session,load_recent,load_previous, session.create, session.list, session.new, session.switch	daemon principal (connection principal_id)	serde_json::Value RPC params + SessionId/thread	SessionService/legacy_session_service	typed CommandOutputEnvelopeV1 / json error	JSON-RPC over Unix socket	executive host daemon server.rs	reconnect via client protocol_events_after	SessionId reconstruction (handler/rpc/session.rs)	effective permission from host permission_mode_from_environment	compatibility	Gateway typed session command	RA-03/CGP-03	RA-06	CLOSED	rg -n '"session.create"|"resume"' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-02	health-status	status,health,evaluation.get,evaluation.latest,evaluation.list	daemon principal	serde_json::Value	health/status handler	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	mode_switch on legacy status	presentation (read-only status)	Gateway typed query	CGP-03	RA-06	CLOSED	rg -n '"status"|"health"' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-03	review	review.capabilities, review.submit, review.status, review.wait, review.cancel, task.review/settle/v1, task.review/latest/v1	daemon principal	serde_json::Value + session/thread	GovernedReviewService	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	review policy from config	compatibility	Application Approval/Gateway typed	APX-02/CGP-03	RA-06	CLOSED	rg -n 'review\.submit|task\.review' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-04	admin-meta	daemon.shutdown, deployment.rollback, reload_skills	daemon principal (admin)	serde_json::Value	admin_service	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	admin policy	compatibility	Gateway typed admin	CGP-03	RA-06	CLOSED	rg -n 'daemon.shutdown' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-05	skills	skills.list, skill.invoke	daemon principal	serde_json::Value + skill id	skill_admin / corpus	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	skill policy	compatibility	Gateway typed skill	CGP-03	RA-06	CLOSED	rg -n 'skills\.list|skill\.invoke' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-06	approval	approval_response, diff_artifact.get, approval.list, approval.show, approval.approve, approval.reject	daemon principal + approval authority	serde_json::Value + approval id	contracts::ToolApprovalAuthority / approval_service	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	approval policy from config	compatibility	Application Approval typed	APX-02/CGP-03	RA-06	CLOSED	rg -n 'approval_response|approval\.approve' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-07	workspace-trust	workspace.trust.evaluate, workspace.trust.grant	daemon principal	serde_json::Value + workspace path	workspace_trust	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	effective workspace from host resolve_workspace	compatibility	Gateway typed workspace	CGP-03	RA-06	CLOSED	rg -n 'workspace\.trust' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-08	turn-control	interrupt, mode_switch, model_list, model_switch, tools/list, turn.wait, turn.cancel, turn.exit, prompt.cancel, prompt.edit, prompt.metrics, cancel	daemon principal	serde_json::Value + turn id	TurnCoordinator / turn_pipeline	typed CommandOutputEnvelopeV1 / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect via protocol_events_after	TurnId::new mint at turn_coordinator.rs:610; cancel current-turn	TaskKind::Coding local inference at submit.rs	compatibility	Runtime typed Turn + GatewayClient	RA-04/CGP-03	RA-06	CLOSED	rg -n 'turn\.wait|turn\.cancel|"cancel"' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-09	google	google.authorization.start, google.authorization.callback, google.accounts.list, google.accounts.revoke, google.token.refresh	daemon principal + OAuth credential	serde_json::Value	google adapters	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	OAuth refresh	none	google policy	compatibility	Gateway typed google + E2-K6a	E2-K6a/CGP-03	RA-06	CLOSED	rg -n 'google\.' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-10	agents	sub_agents, agent.profile.list, agent.profile.set	daemon principal	serde_json::Value + agent id	AgentControlService	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	AgentId mint (agent_control/mod.rs:811)	agent policy	compatibility	Runtime AgentSupervisor + Gateway typed	RA-05/CGP-03	RA-06	CLOSED	rg -n 'sub_agents|agent\.profile' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-11	extension	extension.install,extension.enable,extension.disable,extension.upgrade,extension.rollback,extension.remove,extension.purge,extension.list,extension.show,extension.doctor	daemon principal	serde_json::Value	extension_install / extension_service	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	extension policy	compatibility	Gateway typed extension + Application optional	APX-01/E1/CGP-03	RA-06	CLOSED	rg -n 'extension\.install' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-12	memory	memory.add, memory.list, memory.search, memory.status, memory.show, memory.forget, memory.pin, memory.unpin	daemon principal	serde_json::Value	memory_gateway	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	memory policy	compatibility	Gateway typed memory + Dasein/Mnemosyne	D3/D4/CGP-03	RA-06	CLOSED	rg -n 'memory\.add|memory\.search' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-13	workflow	workflow.save, workflow.load, workflow.list, workflow.delete, workflow.run	daemon principal	serde_json::Value	orchestration/WorkflowStore	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	workflow policy	compatibility	Application optional workflow	CGP-03	RA-06	CLOSED	rg -n 'workflow\.save|workflow\.run' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-14	goal	goal.set, goal.show, goal.status, goal.resume, goal.create, goal.list, goal.pause, goal.run, goal.cancel	daemon principal	serde_json::Value + goal id	goal_service / goal worker	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	goal policy	compatibility	Application GoalDraft typed	APX-03/CGP-03	RA-06	CLOSED	rg -n 'goal\.set|goal\.run' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-15	checkpoint	workspace.rewind, checkpoint.list/v1	daemon principal	serde_json::Value	workspace_checkpoint	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	checkpoint policy (grok_hardening)	compatibility	Gateway typed checkpoint	CGP-03	RA-06	CLOSED	rg -n 'workspace\.rewind|checkpoint\.list' crates/aletheon/src/wiring/daemon/handler/rpc.rs
CGP-R-16	conscient	conscious.diagnostics	daemon principal	serde_json::Value	conscious_core_inspector	typed envelope / json error	JSON-RPC Unix socket	executive host daemon server.rs	reconnect	none	conscious policy	compatibility	Gateway typed conscious	D3/CGP-03	RA-06	CLOSED	rg -n 'conscious\.diagnostics' crates/aletheon/src/wiring/daemon/handler/rpc.rs
