# frozen_commit=efde4ca11a7c45a72ce7a03fee4cdd0c3c9d8e1e
# name	owner	schema_path	version_path	readers	writers	migration_rule	affected_phase
google-event-store	aletheon	crates/aletheon/src/wiring/adapters/google/store.rs	ExternalEventEnvelope.schema_version (v1 read/v2 write)	aletheon Google event ingress/store	aletheon GoogleSyncStore	validate v1/v2; reject unknown; never overwrite source row during compatibility read	1,6
agent-runs	adapters-sqlite	crates/adapters/sqlite/src/runtime_agent/migrations/001_agent_runs.sql	crates/adapters/sqlite/src/runtime_agent/mod.rs::MIGRATION	agent control repository	agent control repository	CREATE IF NOT EXISTS is idempotent; additive migration; rollback by DB backup	2,3,8a
agent-messages	adapters-sqlite	crates/adapters/sqlite/src/runtime_agent/migrations/002_agent_messages.sql	crates/adapters/sqlite/src/runtime_agent/mod.rs::MESSAGE_MIGRATION	agent control repository	agent control repository	ordered additive migration; preserve durable replay semantics	2,8a
agent-recovery	adapters-sqlite	crates/adapters/sqlite/src/runtime_agent/migrations/003_agent_recovery.sql	crates/adapters/sqlite/src/runtime_agent/mod.rs::RECOVERY_MIGRATION	recovery reconciler	agent control repository	ordered additive migration; fail closed on ambiguous recovery state	2,8a
agent-runtime-processes	adapters-sqlite	crates/adapters/sqlite/src/runtime_agent/migrations/004_runtime_processes.sql	crates/adapters/sqlite/src/runtime_agent/mod.rs::RUNTIME_PROCESS_MIGRATION	runtime process supervisor	agent control repository	ordered additive migration; PID plus kernel start identity; fail closed before spawn admission	7,9b
agent-settlement-receipts	adapters-sqlite	crates/adapters/sqlite/src/settlement.rs	agent_settlement_receipts.idempotency_key	settlement engine	settlement receipt adapter	ordered idempotent receipt writes; current compatibility CREATE TABLE remains until canonical migrate cutover	8a
goal-store	aletheon	crates/adapters/sqlite/src/schema_migrations.rs	migration table/version in module	aletheon GoalService/ObjectiveStore readers	aletheon ObjectiveStore	ordered idempotent migrations; backup before destructive change	2,8a
gbrain-spool	mnemosyne	crates/mnemosyne/src/backends/supplemental/migrations.rs	PRAGMA user_version / SCHEMA_VERSION	supplemental memory repository	supplemental memory repository	transactional ordered idempotent migration; reject newer schema	5,8c
memory-consolidation	mnemosyne	crates/mnemosyne/src/consolidation/migrations.rs	migration version table	consolidation repository	consolidation repository	ordered idempotent migration; preserve source record until commit	5,8c
episodic-memory	mnemosyne	crates/mnemosyne/src/backends/episodic/schema.rs	schema initializer	episodic repository	episodic repository	additive schema; backup/version migration before incompatible change	5,8c
semantic-memory	mnemosyne	crates/mnemosyne/src/backends/semantic/schema.rs	schema initializer	semantic repository	semantic repository	additive schema; backup/version migration before incompatible change	5,8c
memory-ops	mnemosyne	crates/mnemosyne/src/ops/schema.rs	schema initializer	memory ops	memory ops	transactional schema initialization; fail closed on invalid schema	5,8c
meta-runtime-state	metacog	crates/metacog/src/evolution/migration.rs	crates/metacog/src/governance/service.rs::STATE_SCHEMA_VERSION	meta runtime	meta runtime	version detect and explicit migration; reject unknown newer schema	8c
oauth-credential-vault	corpus	crates/corpus/src/security/credential_vault.rs	vault envelope/version metadata	credential readers	credential vault	preserve encryption and file permissions; fail closed; backup before migration	6,8d
mcp-token-store	corpus	crates/corpus/src/tools/mcp/token_store.rs	token record format	MCP auth client	MCP token store	atomic write; preserve secret permissions; reject malformed data	6,8d
artifact-store	platform	crates/platform/src/artifact_store.rs	receipt/metadata schema	artifact consumers	platform artifact store	atomic publish and receipt verification; version incompatible metadata	2
hil-evidence	metacog	crates/metacog/src/evaluation/hil_evidence.rs	schema_version	metacog HILEvidenceVerifier	external signed HIL evidence producer	fail closed on unknown version or integrity mismatch	8c
robot-episodes	adapters-sqlite	crates/adapters/sqlite/src/migrations/001_episodes.sql	crates/adapters/sqlite/src/episode.rs::MIGRATION	report builder and episode recovery	robot episode sink	idempotent additive migration; preserve durable attempt receipts and reject incompatible schema	8c
session-read-model	adapters-sqlite	crates/adapters/sqlite/src/session/canonical_store.rs	DATABASE_SCHEMA_VERSION / SESSION_SCHEMA_VERSION	aletheon session projection and resume protocol	CanonicalSessionStore / SessionProjectionStore	transactional migration; read Session records v1-v5, write v5, reject newer versions, rebuild from EventSpine	5b,9a
