# key\tsurface\tparent\tname\taliases\tsummary\tcategory\tusage\texecution\tavailability\tvisibility\tintent
cli.core	cli	-	core	-	Start the machine-scoped inference core	internal	aletheon core	compatibility	always	internal	-
cli.daemon	cli	-	daemon	-	Start daemon (auto-detects systemd/container/foreground)	operations	aletheon daemon	compatibility	always	public	-
cli.exec	cli	-	exec	-	Non-interactive execution	task	aletheon exec --prompt <PROMPT>	application	always	public	-
cli.run	cli	-	run	-	Run a human-facing governed task	task	aletheon run [PROMPT]	application	always	public	-
cli.resume	cli	-	resume	-	Resume a session or select one from history	session	aletheon resume [SESSION]	application	always	public	-
cli.completion	cli	-	completion	-	Print a generated shell completion script	configuration	aletheon completion <SHELL>	local	always	public	-
cli.version	cli	-	version	-	Print version	information	aletheon version	local	always	public	-
cli.restore-terminal	cli	-	restore-terminal	-	Restore terminal modes after an interrupted TUI session	internal	aletheon restore-terminal	local	always	internal	-
cli.config	cli	-	config	-	Inspect effective configuration (merged layers)	configuration	aletheon config <ACTION>	compatibility	always	public	-
cli.config.effective	cli	config	effective	-	Print the fully merged effective configuration (secrets redacted)	configuration	aletheon config effective	compatibility	always	public	-
cli.config.layers	cli	config	layers	-	Show each config layer source and its overrides	configuration	aletheon config layers	compatibility	always	public	-
cli.doctor	cli	-	doctor	-	Run diagnostics and print a health report	operations	aletheon doctor	compatibility	always	public	-
cli.extension	cli	-	extension	-	Manage extension packages	extension	aletheon extension <ACTION>	compatibility	always	public	-
cli.extension.inspect	cli	extension	inspect	-	Inspect an extension package archive	extension	aletheon extension inspect <PATH>	compatibility	always	public	-
cli.extension.validate	cli	extension	validate	-	Validate an extension package without installing	extension	aletheon extension validate <PATH>	compatibility	always	public	-
cli.extension.install	cli	extension	install	-	Install an extension package	extension	aletheon extension install <PATH>	compatibility	always	public	-
cli.extension.list	cli	extension	list	-	List installed extensions	extension	aletheon extension list	compatibility	always	public	-
cli.extension.show	cli	extension	show	-	Show details for an installed extension	extension	aletheon extension show <ID>	compatibility	always	public	-
cli.extension.enable	cli	extension	enable	-	Enable an installed extension	extension	aletheon extension enable <ID>	compatibility	always	public	-
cli.extension.disable	cli	extension	disable	-	Disable an active extension	extension	aletheon extension disable <ID>	compatibility	always	public	-
cli.extension.upgrade	cli	extension	upgrade	-	Upgrade an extension to a newer package	extension	aletheon extension upgrade <PATH>	compatibility	always	public	-
cli.extension.rollback	cli	extension	rollback	-	Rollback to the previous known-good version	extension	aletheon extension rollback <ID>	compatibility	always	public	-
cli.extension.remove	cli	extension	remove	-	Remove an extension (deactivate but keep package)	extension	aletheon extension remove <ID>	compatibility	always	public	-
cli.extension.purge	cli	extension	purge	-	Purge an inactive extension and its stored package state	extension	aletheon extension purge <ID>	compatibility	always	public	-
cli.extension.doctor	cli	extension	doctor	-	Run diagnostics on an extension	extension	aletheon extension doctor <ID>	compatibility	always	public	-
cli.memory-agent	cli	-	memory-agent	-	Run the Aletheon-managed memory maintenance client	internal	aletheon memory-agent <ACTION>	compatibility	always	internal	-
