# Agent Kernel V2 APX-00 application/IO census (evidence-only, no behavior change)
# Baseline: 0bf690b2
# Plan: docs/plans/2026-08-09-agent-kernel-v2-deepseek-implementation-plan.md §7
# Classification: basic-use-case | optional-supported | optional-unproven | adapter-io | compatibility | dead
# optional-unproven requires production-caller search, installed search, target owner, closing command.
fact_id	use_case_family	source_classification	concrete_io	primary_sources	production_callers	installed_config_evidence	target_owner	closing_slice	status	evidence_command
APX-UC-01	daemon turn (interactive prompt)	basic-use-case	SQLite session store + EventSpine + provider	crates/application/src/turn/service.rs:12, crates/aletheon/src/host/turn_pipeline.rs:80, host/daemon/bootstrap	daemon entry (aletheon main.rs:442)	config/architecture/persistence-surfaces.tsv session stores	Runtime canonical Turn	RA-04	CLOSED	rg -n 'pub trait TurnService' crates/application/src/turn/service.rs
APX-UC-02	daemon turn (react)	basic-use-case	SessionAppendStore + EventSpine	crates/aletheon/src/adapters/cognitive/daemon_session.rs:90	daemon react path	persistence-surfaces.tsv	Runtime SessionAuthority	RA-03	CLOSED	rg -n 'id: SessionId\(request.context.thread_id' crates/aletheon/src/adapters/cognitive/daemon_session.rs
APX-UC-03	exec single-message	basic-use-case	CLI socket + provider	crates/aletheon/src/host/exec_session.rs, composition/exec_session.rs, interact single_message.rs:243	CLI -m flag (aletheon main.rs:616)	—	GatewayClient + Runtime	RA-03/RA-04/CGP-06	CLOSED	rg -n 'prompt_completion_from_rpc_result' crates/application/src/command_dispatcher.rs
APX-UC-04	Session create/resume/fork	basic-use-case	SQLite canonical session store + protocol_events	crates/runtime/src/session_service.rs:43,696	SessionGateway (bootstrap services.rs:524)	persistence-surfaces.tsv session tables	Runtime SessionAuthority	RA-03	CLOSED	rg -n 'pub struct SessionService' crates/runtime/src/session_service.rs
APX-UC-05	Approval aggregate	basic-use-case	SQLite approval repository	crates/adapters/sqlite/src/approval_repository.rs:108,126	daemon bootstrap approval_gate + approve flow	persistence-surfaces.tsv approval surfaces	Application Approval owner	APX-02	CLOSED	rg -n 'Connection::open' crates/adapters/sqlite/src/approval_repository.rs
APX-UC-06	Goal Draft + external stimulus	basic-use-case	SQLite objectives store + goal worker	crates/adapters/sqlite/src/goal/store.rs:98, crates/adapters/sqlite/src/goal/budget.rs:8, crates/application/src/goal/coordinator.rs:379, crates/adapters/sqlite/src/goal/transition.rs:62, crates/application/src/goal/stimulus.rs	GoalService + goal RPC + Gmail/Telegram goal commands	persistence-surfaces.tsv goal-store	Application GoalDraft owner	APX-03	CLOSED	rg -n 'INSERT INTO objectives' crates/adapters/sqlite/src/goal/store.rs
APX-UC-07	Memory gateway / recall	basic-use-case	SQLite memory store + Mnemosyne	crates/mnemosyne/src/memory_gateway.rs:54, memory_maintenance.rs	daemon core memory + recall	persistence-surfaces.tsv mnemosyne surfaces	Dasein/Mnemosyne owner	D3/D4	CLOSED	rg -n 'pub struct MemoryGatewayService' crates/mnemosyne/src/memory_gateway.rs
APX-UC-08	Embodied execution	basic-use-case	SQLite embodiment store + process adapter	crates/aletheon/src/host/embodiment/service.rs:24, embodiment_progress.rs:301	embodiment bootstrap + robot/pi	persistence-surfaces.tsv	Runtime DelegateBackend + Hardware	RA-05/E4/E6	CLOSED	rg -n 'pub struct EmbodimentService' crates/aletheon/src/host/embodiment/service.rs
APX-UC-09	Extension activation/install	optional-supported	FS package store + archive write	crates/aletheon/src/extensions/extension_install.rs:18, extension_manage.rs:31, extension_snapshot.rs	extension coordinator + RPC	installed extension.toml/checksums	Application optional Extension owner	APX-01/E1	CLOSED	rg -n 'std::fs::write' crates/aletheon/src/extensions/extension_install.rs
APX-UC-10	Governed review	optional-supported	JSON filesystem governed_review store	crates/aletheon/src/host/governed_review/store.rs:65,73	daemon review RPC	installed governed_review job JSON	Application Approval owner	APX-02	CLOSED	rg -n 'pub struct GovernedReviewStore' crates/aletheon/src/host/governed_review/store.rs
