# frozen_commit=03d263d44f0277d883c24b1be0b98e3a48519291
# id	node	kind	target
A-DEP-001	X1	test	crates/contracts/tests/architecture_contract.rs
A-DEP-002	X1	test	crates/contracts/tests/architecture_contract.rs
A-DEP-003	X1	test	crates/contracts/tests/architecture_contract.rs
A-ENTRY-001	X3a	test	crates/aletheon/tests/command_dispatcher.rs
U-CLI-001	X3b	test	crates/aletheon/src/main.rs
U-CLI-002	X3b	test	crates/interact/src/tui/registry.rs
A-ENTRY-002	X3c	test	crates/aletheon/tests/cli_contract.rs
A-ENTRY-003	X3c	test	crates/aletheon/tests/cli_contract.rs
U-CLI-004	X3c	test	crates/aletheon/tests/cli_contract.rs
U-BOOT-003	X4a	test	crates/aletheon/tests/daemon_lifecycle.rs
U-BOOT-001	X4b	test	crates/interact/src/host.rs
U-BOOT-002	X4b	test	crates/interact/src/host.rs
U-CLI-003	X4c	test	crates/aletheon/tests/exec_cli.rs
A-SESSION-001	X5b	test	crates/aletheon/tests/session_protocol_reconnect.rs
A-SESSION-002	X5b	test	crates/aletheon/tests/session_protocol_reconnect.rs
A-SESSION-003	X5c	test	crates/interact/tests/tui_reducer.rs
U-TUI-001	X6a	test	crates/interact/src/tui/task_console.rs
U-TUI-002	X6a	test	crates/interact/src/tui/app/key_handler.rs
U-TUI-003	X6a	test	crates/interact/src/tui/task_console.rs
U-TUI-004	X6a	test	crates/interact/src/tui/task_console.rs
U-TUI-005	X6a	test	crates/interact/src/tui/app/key_handler.rs
U-TUI-006	X6a	test	crates/interact/src/tui/app/lifecycle.rs
U-TUI-007	X6a	test	crates/interact/src/tui/task_console.rs
U-INPUT-001	X6b	test	crates/interact/src/tui/file_picker.rs
U-INPUT-003	X6b	test	crates/interact/src/tui/input_safety.rs
U-INPUT-006	X6b	test	crates/interact/src/tui/input_safety.rs
U-INPUT-002	X6b	test	crates/interact/src/tui/input.rs
U-INPUT-005	X6b	test	crates/interact/src/tui/app/key_handler.rs
U-INPUT-004	X6b	test	crates/runtime/src/public_session_projection.rs
A-CAP-001	X7	test	crates/corpus/src/tools/tools/change_transaction.rs
A-CAP-002	X7	test	crates/corpus/tests/capability_executor.rs
A-CAP-003	X7	test	crates/aletheon/tests/capability_invoker.rs
A-CAP-004	X7	test	crates/aletheon/tests/hardware_simulation.rs
A-CAP-005	X7	test	crates/contracts/src/types/tool_stream.rs
A-TURN-001	X7	test	crates/aletheon/tests/turn_service_equivalence.rs
A-MEM-001	X14	test	crates/mnemosyne/tests/unified_memory_contract.rs
A-MEM-002	X14	test	crates/mnemosyne/tests/unified_memory_contract.rs
A-MEM-003	X14	test	crates/mnemosyne/tests/unified_memory_contract.rs
U-CHK-003	X8a	test	crates/application/src/workspace_checkpoint.rs
U-CHK-004	X8a	test	crates/application/src/checkpoint_projection.rs
U-CHK-001	X8b	test	crates/corpus/src/tools/tools/change_transaction.rs
U-CHK-002	X8b	test	crates/corpus/src/tools/tools/change_transaction.rs
U-CHK-005	X8b	test	crates/interact/src/tui/diff_view.rs
U-CHK-006	X8b	test	crates/interact/src/tui/diff_view.rs
U-VERIFY-001	X8c	test	crates/aletheon/tests/application_settlement.rs
U-VERIFY-002	X8c	test	crates/agora/src/host_acceptance.rs
U-VERIFY-003	X8c	test	crates/aletheon/tests/application_settlement.rs
U-VERIFY-004	X8c	test	crates/aletheon/tests/application_settlement.rs
A-TURN-002	X8c	test	crates/aletheon/tests/application_settlement.rs
U-RESUME-001	X9a	test	crates/aletheon/tests/session_protocol_reconnect.rs
U-RESUME-002	X9a	test	crates/aletheon/tests/session_protocol_reconnect.rs
U-RESUME-003	X9b	test	crates/aletheon/tests/agent_control_spawn.rs
U-RESUME-004	X9a	test	crates/aletheon/tests/session_protocol_reconnect.rs
U-RESUME-005	X9a	test	crates/aletheon/src/wiring/application/agent_control/settlement/tests/audit_tests.rs
U-RESUME-006	X9a	test	crates/runtime/src/session_service.rs
A-AGENT-001	X9b	test	crates/aletheon/tests/agent_control_spawn.rs
A-AGENT-002	X9b	test	crates/aletheon/tests/agent_recovery.rs
A-AGENT-003	X9b	test	crates/aletheon/tests/agent_admission.rs
A-DELETE-001	X10	test	crates/metacog/tests/compatibility_deletion.rs
A-DELETE-002	X10	test	crates/metacog/tests/compatibility_deletion.rs
U-INST-001	X12	manual-evidence	docs/testing/x12-installed-acceptance-2026-08-05.md
U-INST-002	X12	manual-evidence	docs/testing/x12-installed-acceptance-2026-08-05.md
A-ROBOT-001	X13	test	crates/runtime/src/public_session_projection.rs
A-ROBOT-002	X13	test	crates/runtime/src/public_session_projection.rs
U-ROBOT-001	X13	test	crates/runtime/src/public_session_projection.rs
U-ROBOT-002	X13	test	crates/interact/src/tui/task_console.rs
U-ROBOT-003	X13	test	crates/runtime/src/public_session_projection.rs
