# status=historical / retired; frozen Executive snapshot, not consumed by architecture-check.sh
# frozen_commit=ca4b185
# path	layer	owner	reason
crates/executive/src/adapters/channel/daemon_adapter.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/gmail/event_ingress.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/gmail/goal_draft.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/gmail/ingest.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/gmail/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/gmail/report.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/gmail/sender_policy.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/channel/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/external/google_use_cases.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/external/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/external/repository.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/gbrain/bootstrap.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/gbrain/mcp_adapter.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/gbrain/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/google/event_dispatcher.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/google/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/google/store.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/google/sync_manager.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/native_cognit.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/pi.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/pi_protocol.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/pi_rpc.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/provider_worker.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/runtime/worktree_recovery.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/session/canonical_store.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/session/checkpoint_store_sqlite.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/session/event_sourced_store.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/session/mod.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/adapters/session/store.rs	adapter	executive	concrete infrastructure integration
crates/executive/src/application/admin_service.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/admission.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/candidate_projection.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/execution.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/execution_runner.rs	application	executive	host-owned child execution and settlement orchestration
crates/executive/src/application/agent_control/memory.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/settlement.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/agent_control/settlement/tests/audit_tests.rs	application	executive	settlement audit contract tests
crates/executive/src/application/approval/apply_coordinator.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/approval/mod.rs	application	executive	use-case orchestration and ports
crates/executive/src/application/capability_benchmark.rs	application	executive	use-case orchestration and ports
