# frozen_commit=85704ed3f641419f86dd08c5be8d26c52c64c19b
# classification	symbol	path	participants	protocol_owner	version_mechanism	compatibility_rule	phase
wire-exposed	ClientRpcRequest/ClientRpcResponse	crates/contracts/src/protocol/client.rs	aletheon,interact,gateway	contracts	CLIENT_PROTOCOL_VERSION and JSON_RPC_VERSION	reject unsupported protocol versions; additive fields only within v1	1,9
wire-exposed	ConsciousCore protocol	crates/gateway/src/protocol/conscious_core.rs	aletheon,gateway,interact	gateway-protocol	type-level serde contract	additive evolution; version before incompatible field changes	1
wire-exposed	Contracts protocol module	crates/contracts/src/protocol/mod.rs	contracts consumers	contracts	module exports	compatibility exports only decrease	1,9
wire-exposed	Memory Gateway v1 contracts	crates/contracts/src/protocol/memory.rs	aletheon clients,mnemosyne,contracts	contracts	MEMORY_GATEWAY_SCHEMA_V1	additive fields only within v1; incompatible change uses v2	1,9
wire-exposed	Memory maintenance v1 contracts	crates/contracts/src/protocol/memory_maintenance.rs	aletheon Memory Agent,mnemosyne,contracts	contracts	MEMORY_MAINTENANCE_SCHEMA_V1	additive fields only within v1; incompatible change uses v2	1,9
wire-exposed	execd Request/Response/Handshake	crates/execd/src/protocol.rs	aletheon,execd	execd	handshake protocol_version	fail closed on version mismatch; preserve JSON-RPC error codes	2,8e
wire-exposed	Core RPC protocol	crates/adapters/inference/src/core_rpc/protocol.rs	aletheon machine core,aletheon user host	aletheon-core-rpc	request schema	version before incompatible request changes	M7.1,M8
wire-exposed	PolicyGateway service	crates/cognit/proto/aletheon/policy/gateway/v1/policy.proto	cognit,policy gateway	cognit	protobuf package v1	new fields/services additive; incompatible change uses v2	7
wire-exposed	EmbodimentGateway service	crates/hardware/proto/aletheon/embodiment/gateway/v1/gateway.proto	hardware,embodiment gateway	hardware	protobuf package v1; tonic generated boundary	new fields/RPCs additive; incompatible change uses v2	6
extension-owned	Google ExternalEventEnvelope	crates/corpus/src/tools/google/event.rs	aletheon google event store,corpus google adapter	corpus google adapter	EXTERNAL_EVENT_SCHEMA_VERSION=2; legacy v1 validator	read v1/v2, write v2, reject unknown versions	1,6
extension-owned	External information source DTOs	crates/corpus/src/tools/google/source.rs	corpus google adapters,aletheon google adapter	corpus google adapter	typed serde contracts	opaque IDs/cursors; additive fields only without schema bump	1,6
internal-shared	IPC EnvelopeV2	crates/contracts/src/ipc/envelope_v2.rs	cognit,corpus,aletheon	contracts	SchemaId plus typed envelope	version incompatible schemas with a new SchemaId	1,2
internal-shared	Turn event stream	crates/contracts/src/ipc/stream.rs	cognit,runtime,aletheon	contracts	schema-qualified TurnEventV1	reject unsupported schema; additive variants require compatibility review	1,2
wire-exposed	MCP JSON-RPC and tool schemas	crates/corpus/src/tools/mcp/client.rs	corpus,MCP servers	corpus	MCP initialize protocolVersion and per-tool inputSchema	negotiate protocol; opaque payload only inside adapter	8d
internal-shared	Agent run state	crates/runtime/src/agent_repository.rs	aletheon compatibility facade,SQLite repository	runtime	SQLite migrations 001-003	migrate durable state before enum/DTO changes	2,3,8a
internal-shared	Memory/spool DTOs	crates/mnemosyne/src/backends/supplemental/migrations.rs	mnemosyne,supplemental backend	mnemosyne	SQLite PRAGMA user_version	idempotent ordered migration; compatibility read old/write new	5,8c
internal-shared	Audit/HIL evidence	crates/metacog/src/evaluation/hil_evidence.rs	metacog,aletheon	metacog	schema_version field	fail closed on unknown schema/evidence integrity failure	8c
internal-shared	Artifact metadata	crates/platform/src/artifact_store.rs	aletheon,platform	platform	typed metadata plus receipt	preserve receipt validation; version before incompatible persistence	2
internal-shared	Session authority port	crates/contracts/src/types/session.rs	aletheon,contracts,interact	runtime	SESSION_SCHEMA_VERSION=5; TASK_PROJECTION_FACT_SCHEMA_VERSION=1; expected sequence and item idempotency	read Session records v1-v5 and write v5; reject unknown Task projection facts; extend existing SessionAppendStore only	3,9
internal-shared	Authoritative event journal	crates/runtime/src/event_spine.rs	runtime,aletheon	runtime	ordered tree sequence and schema-qualified envelopes	append once; bounded replay reads are additive; production persistence fails closed	3,9
internal-shared	Session projection contract	crates/runtime/src/read_model.rs	runtime,adapters-sqlite,aletheon	runtime	ProjectionDescriptor version and checkpoint	rebuild on version change; clients consume snapshot plus ordered tail	3,9
wire-exposed	Extension lifecycle and connector v1 contracts	crates/gateway/src/protocol/extension.rs	aletheon,gateway	gateway-protocol	EXTENSION_PROTOCOL_SCHEMA_V1	additive fields only within v1; incompatible change uses v2	1,8d,9
