# Agent Kernel V2 CGP-00 composition root census (evidence-only, no behavior change)
# Baseline: 0bf690b2
# Records who composes what, the composition seam, and the target owner after
# the aletheon-only composition root cutover (CGP-01).
fact_id	composition_point	composes	symbol	consumes_via	authority_claim	socket_io	executive_dependency	target_owner	cutover_slice	deletion_slice	status	evidence_command
CGP-C-01	aletheon main.rs + src/composition/daemon_bootstrap	daemon via aletheon::launcher::run_daemon	async fn main	aletheon composition launcher	composition root	forks daemon, TUI client	Executive application/adapters only; no Executive host/composition/core import	aletheon composition root	CGP-01	CGP-08	CLOSED	rg -n 'executive::(host|composition|core)' crates/aletheon/src crates/interact/src crates/gateway-client/src crates/gateway-protocol/src -g '*.rs'
CGP-C-02	executive host/daemon/bootstrap	RequestHandler + SessionGateway + AgentControlService + TurnPipeline	bootstrap/services.rs, bootstrap/request.rs	composition config + kernel/fabric	inert rollback/test graph	legacy Unix socket source; no production caller	executive internal and integration-test callers only	aletheon composition root	CGP-01	CGP-08	CLOSED	rg -n 'executive::host|testing::host' crates/*/src -g '*.rs' --glob '!crates/executive/**'
CGP-C-03	executive composition/user_runtime	UserRuntime composition (cli/message/tui entry)	composition/user_runtime/mod.rs:283	host/daemon components	inert rollback/test graph	legacy CLI + socket source; no production caller	executive internal only	aletheon composition root	CGP-01	CGP-08	CLOSED	rg -n '^\s*(use|pub use).*executive::composition|testing::composition::user_runtime' crates/*/src -g '*.rs' --glob '!crates/executive/**'
CGP-C-04	executive composition/turn_service + turn_coordinator	ExecSessionBuilder + SessionAppendStore + EventSpine	turn_service.rs, turn_coordinator.rs:38	exec session + turn pipeline	integration-test composition only	no production socket	executive testing facade only	aletheon composition root / Runtime ports	RA-04/CGP-01	CGP-08	CLOSED	rg -n 'executive::testing::(turn_service|turn_coordinator|exec_session)' crates/*/src -g '*.rs' --glob '!crates/executive/src/lib.rs'
CGP-C-05	adapters-agent-profile	MarkdownAgentProfileLoader profile loader	crates/adapters/agent-profile/src/lib.rs	host bootstrap runtime.rs	profile loading	none	shared adapter owner	adapters-agent-profile	RA-05	CGP-08	CLOSED	rg -n 'MarkdownAgentProfileLoader' crates/aletheon/src/composition/daemon_bootstrap/runtime.rs crates/aletheon/src/composition/daemon_bootstrap/runtime.rs
CGP-C-06	aletheon main.rs	ensure_user_socket lifecycle boundary	main.rs:637	executive host launcher	aletheon owns daemon bootstrap; interact only resolves/connects	Unix socket	yes (aletheon composition only)	aletheon lifecycle/daemon client + GatewayClient	CGP-04/CGP-08	RA-06	CLOSED	rg -n 'ensure_user_socket' crates/aletheon/src/main.rs
CGP-C-07	gateway-channel-telegram + gateway router	Telegram transport + router	gateway-channel-telegram/src/lib.rs:29 build_telegram_transport	ChannelTransport	channel transport	network	no (depends on fabric,gateway; no Executive)	gateway-channel-telegram + Aletheon composition	CGP-02/CGP-04	RA-06	CLOSED	rg -n 'build_telegram_transport' crates/gateway-channel-telegram/src/lib.rs
CGP-C-08	interact acp/typed_client.rs + acp/gateway.rs	GatewayAcpBackend + ACP frames	typed_client.rs:40	typed Gateway client + ACP adapter	ACP protocol boundary	Unix socket	no business Executive dependency	GatewayClient typed backend + ACP adapter	CGP-05	RA-06	CLOSED	rg -n 'struct GatewayAcpBackend|impl AcpBackend for GatewayAcpBackend' crates/interact/src/acp/typed_client.rs
CGP-C-09	interact memory_client.rs	MemoryClient uses GatewayClient legacy framing adapter	memory_client.rs	LegacyJsonRpcClient compatibility transport	legacy extension protocol	Unix socket	no	GatewayClient	CGP-02	RA-06	CLOSED	rg -n 'LegacyJsonRpcClient' crates/interact/src/memory_client.rs

CGP-C-10	interact tui/mod.rs typed TUI composition entrypoint	run_with_workspace_requirements_and_task_kind:111	terminal setup + typed GatewayClient + workspace policy	TuiModel/TuiController/TuiRenderer + GatewayClient	presentation composition only	Unix socket via GatewayClient	no direct Executive dependency	TuiModel/TuiController/TuiRenderer + GatewayClient	CGP-06/CGP-07	RA-06	CLOSED	rg -n 'run_with_workspace_requirements_and_task_kind|GatewayClient::new' crates/interact/src/tui/mod.rs
CGP-C-11	aletheon/src/host/core.rs + adapters-inference core_rpc	MachineInferenceRuntime and CoreRpcServer	MachineInferenceRuntime::bootstrap	executive application InferencePort + local core RPC protocol	machine inference composition	core Unix socket	no Executive host/core-runtime dependency	aletheon machine-core composition root	CGP-08	XRET-04	CLOSED	rg -n 'MachineInferenceRuntime|CoreRpcServer' crates/aletheon/src/host crates/adapters/inference/src/core_rpc
CGP-C-12	gateway-server/src/handlers/typed.rs	TypedRouteHandler + TypedApplicationPort	TypedRouteHandler::dispatch_wire	gateway-protocol + narrow Application port	typed Gateway server dispatch	transport supplied by aletheon	no Kernel/Runtime/store dependency	gateway-server owner	CGP-03	XRET-04	CLOSED	rg -n 'pub trait TypedApplicationPort|pub struct TypedRouteHandler' crates/gateway-server/src/handlers/typed.rs
