path	symbol	kind	prod_caller_path	prod_caller_symbol	cfg	wire_role	persistence_role	schema_or_format_version	last_writer	last_reader	target_owner	cutover_pr	deletion_pr	deadline	evidence_commit
crates/contracts/src/contract/command.rs	CancelRequestedV1	struct	interact,executive	-	governed	-	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	ClientCommand	enum	aletheon,interact,gateway,executive	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	ClientIntent	struct	aletheon,interact,gateway,executive	-	governed	-	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	ClientIntentError	enum	aletheon,interact,gateway,executive	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	ClientSurface	enum	aletheon,interact,gateway,executive	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	CommandAvailability	enum	aletheon,interact,gateway	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	CommandExecution	enum	aletheon,interact,gateway,executive	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	CommandId	enum	aletheon,interact,gateway,executive	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	CommandOutputEnvelopeV1	struct	aletheon,interact,executive	-	governed	-	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
crates/contracts/src/contract/command.rs	CommandOutputError	enum	aletheon,interact,executive	-	governed	wire	-	-	executive	executive	Gateway protocol	CGP-01/CGP-02	XRET-04	2026-10-31	B0+B2+B7+closed
