# Agent Kernel V2 K0 kernel effect/operation/process census (evidence-only, no behavior change)
# Baseline: 0bf690b2 (contains PR #192 foundation)
# Plan: docs/plans/2026-08-09-agent-kernel-v2-deepseek-implementation-plan.md §6
# Each row records: effect family, command owner, current executor, authorization input,
# operation/process ID owner, receipt, timeout/cancel, restart recovery, external irreversibility,
# target K/E slice.
# status: CLOSED|INVESTIGATE:<blocker-id>
# Test-only fixtures are excluded (production_callers=0 convention).
fact_id	effect_family	command_owner	current_executor	authorization_input	id_owner	receipt	timeout_cancel	restart_recovery	external_irreversible	target_slice	status	evidence_command
K0-OP-01	operation-lifecycle	TurnCoordinator	crates/executive/src/application/turn_coordinator.rs:608 (kernel.start_operation)	OperationRequest (principal via KernelRuntime)	fabric::OperationId minted by TurnCoordinator (turn_coordinator.rs:605)	OperationTable::succeed/fail (in-memory, kernel/src/operation/table.rs)	deadline via OperationRequest.deadline; cancel via TurnAbortController	kernel/src/operation/table.rs is in-memory Mutex<HashMap>; no durable recovery	no external side effect on lifecycle rows	K1/K2	CLOSED	rg -n 'start_operation' crates/executive/src/application/turn_coordinator.rs
K0-OP-02	operation-lifecycle	TurnToolExecutor	crates/executive/src/host/daemon/handler/tool_executor.rs:535-574 (kernel.start/succeed_operation)	CapabilityRequest permit (via DefaultCapabilityInvoker)	fabric::OperationId minted in tool_executor.rs:550 region	CapabilityResult audit_id + OperationTable terminal	control.cancel token (tool_executor.rs:248)	operation table in-memory only	no	K1/K2	CLOSED	rg -n 'start_operation' crates/executive/src/host/daemon/handler/tool_executor.rs
K0-OP-03	operation-lifecycle	AgentControlService execution_runner	crates/executive/src/application/agent_control/execution_runner.rs:32,359,368 (kernel.start/succeed/fail_operation)	AgentSpawnRequest + admission lease	fabric::OperationId minted by execution_runner	AgentRunRepository agent_terminal_receipts (sqlite_repository.rs:794) + kernel terminal	cancel via cancel token + background_cancellation	AgentRecoveryCoordinator (agent_control/recovery.rs:72) replays live runs	no	RA-05/K2	CLOSED	rg -n 'kernel\.(start|succeed|fail)_operation' crates/executive/src/application/agent_control/execution_runner.rs
K0-OP-04	operation-lifecycle	ConsciousCoreCoordinator	crates/executive/src/application/conscious_core_coordinator.rs:342,349 (kernel.start/succeed_operation)	conscious core admission (ConsciousCorePorts)	fabric::OperationId minted by coordinator	OperationTable terminal	control.cancel	no durable recovery	no	K2	CLOSED	rg -n 'start_operation' crates/executive/src/application/conscious_core_coordinator.rs
K0-OP-05	operation-lifecycle	EvaluationService	crates/executive/src/application/evaluation/service.rs:124,178 (kernel.start/succeed_operation)	EvaluationSettings + capability permit	fabric::OperationId minted by evaluation	CapabilityResult + evaluation receipt	control.cancel	no durable recovery	no	K2	CLOSED	rg -n 'start_operation' crates/executive/src/application/evaluation/service.rs
K0-AD-01	admission-permit	DefaultCapabilityInvoker	crates/kernel/src/capability/mod.rs:151 (invoke_inner: admit->execute->settle)	AdmissionRequest built from CapabilityRequest (mod.rs:175-190)	fabric::PermitId minted by ProductionAdmissionController (admission/production.rs)	CapabilityResult usage + AuditEventId (mod.rs:279-282)	tokio::select cancel (mod.rs:248); SandboxRequired fail-closed (mod.rs:212)	permit Drop cleanup guard schedules revoke (mod.rs:42-71)	no external effect in the invoker itself	K1/K2/K3	CLOSED	rg -n 'invoke_inner' crates/kernel/src/capability/mod.rs
K0-AD-02	admission-permit	ProductionAdmissionController	crates/kernel/src/admission/production.rs:59,187	AdmissionRequest (principal/capability/risk/scope/budget/lease/sandbox)	fabric::PermitId	mint/settle/revoke in-memory (budget/lease/sandbox flags)	revoke on cancel/operation cancel	no durable permit store	no	K1/K3	CLOSED	rg -n 'impl AdmissionController for ProductionAdmissionController' crates/kernel/src/admission/production.rs
K0-EX-01	process-spawn (tool)	Corpus tool runner	crates/corpus/src/tools/tools/managed_command.rs:185,483 (Command::new bash)	CapabilityRequest permit via TurnToolExecutor -> corpus	OS child pid / ProcessId	fabric::ToolResult (streaming terminal)	cancel via session cancellation (managed_command.rs:215-218)	process supervisor reaps on daemon restart	executes arbitrary command in workspace (irreversible to host)	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/tools/tools/managed_command.rs
K0-EX-02	process-spawn (git)	Corpus git tools	crates/corpus/src/tools/tools/git_tools.rs:39,88,126 (Command::new git)	CapabilityRequest permit via TurnToolExecutor	OS child pid	fabric::ToolResult	no explicit timeout on git subprocess	reaped by supervisor	git write/push can mutate external repos (irreversible)	K4/K5	CLOSED	rg -n 'Command::new\("git"' crates/corpus/src/tools/tools/git_tools.rs
K0-EX-03	process-spawn (script/kernel-build/workspace)	Corpus tool runner	crates/corpus/src/tools/tools/script_tool.rs:1 (also kernel_build.rs, workspace_version.rs, change_transaction.rs)	CapabilityRequest permit via TurnToolExecutor	OS child pid	fabric::ToolResult	no uniform timeout	reaped by supervisor	script/kernel-build mutate workspace and subprocesses	K4/K5	CLOSED	rg -n 'Command::new' crates/corpus/src/tools/tools/script_tool.rs crates/corpus/src/tools/tools/kernel_build.rs
